id,name,mpn,slug_cu,name_slug,mpn_slug,slug_moi
09344b97-caa7-4e0b-a151-cdae977e3d3e,Máy lạnh LG Inverter 1Hp ( 1 pha ),IDH09M1,10hp-idh09m1,may-lanh-lg-inverter-1hp-1-pha,idh09m1,may-lanh-lg-inverter-1hp-1-pha-idh09m1
7afaaf95-cc23-4512-830d-5d7d6fd3627c,Máy lạnh LG Inverter 1Hp ( 1 pha ),IDC09M1,10hp-idc09m1,may-lanh-lg-inverter-1hp-1-pha,idc09m1,may-lanh-lg-inverter-1hp-1-pha-idc09m1
0ca7f475-4a98-4317-ac8f-f0eecfb6dd72,Máy lạnh LG Inverter 1Hp ( 1 pha ),IEC09G2,1hp-iec09g2,may-lanh-lg-inverter-1hp-1-pha,iec09g2,may-lanh-lg-inverter-1hp-1-pha-iec09g2
9fac74ab-06d5-4d43-af99-081b1506650c,Máy lạnh LG Inverter 1Hp ( 1 pha ),IPC09M1,10hp-ipc09m1,may-lanh-lg-inverter-1hp-1-pha,ipc09m1,may-lanh-lg-inverter-1hp-1-pha-ipc09m1
748acad6-4f19-4efa-bca9-e04f0c1432cc,Máy lạnh LG Inverter 2.5Hp ( 1 pha ),IEC24M2,25hp-iec24m2,may-lanh-lg-inverter-25hp-1-pha,iec24m2,may-lanh-lg-inverter-25hp-1-pha-iec24m2
88333046-a2d2-447b-ba22-9e59d8b9286d,Máy lạnh LG Inverter 2.5Hp ( 1 pha ),IDH24M1,25hp-idh24m1,may-lanh-lg-inverter-25hp-1-pha,idh24m1,may-lanh-lg-inverter-25hp-1-pha-idh24m1
9dd37c6d-0100-4d4b-a43f-d42d5c7cc884,Máy lạnh LG Inverter 2Hp ( 1 pha ),IDH18M1,2hp-idh18m1,may-lanh-lg-inverter-2hp-1-pha,idh18m1,may-lanh-lg-inverter-2hp-1-pha-idh18m1
120ca427-0ebc-4c78-b8cc-b692b211077e,Máy lạnh LG Inverter 2Hp ( 1 pha ),IDC18M1,2hp-idc18m1,may-lanh-lg-inverter-2hp-1-pha,idc18m1,may-lanh-lg-inverter-2hp-1-pha-idc18m1
92a218b6-e060-44d1-b246-0db9310ac31d,Máy lạnh LG Inverter 2Hp ( 1 pha ),IEC18M2,20hp-iec18m2,may-lanh-lg-inverter-2hp-1-pha,iec18m2,may-lanh-lg-inverter-2hp-1-pha-iec18m2
aa884932-f316-4f7f-a474-951072b4a4ec,Máy lạnh treo tường Daikin 1.5HP - hai chiều Inverter,FTHF35XVMV,15hp-fthf35xvmv,may-lanh-treo-tuong-daikin-15hp---hai-chieu-inverter,fthf35xvmv,may-lanh-treo-tuong-daikin-15hp-hai-chieu-inverter-fthf35xvmv
75c47e42-c39e-4407-9e7f-01ec88daf963,Máy lạnh treo tường Daikin 1.5HP - hai chiều Inverter,FTXM35XVMV,15hp-ftxm35xvmv,may-lanh-treo-tuong-daikin-15hp---hai-chieu-inverter,ftxm35xvmv,may-lanh-treo-tuong-daikin-15hp-hai-chieu-inverter-ftxm35xvmv
88321398-4c39-456b-adc6-1d79dd51bb7c,Máy lạnh treo tường Daikin 1.5HP - hai chiều Inverter,FTXV35QVMV,15hp-ftxv35qvmv,may-lanh-treo-tuong-daikin-15hp---hai-chieu-inverter,ftxv35qvmv,may-lanh-treo-tuong-daikin-15hp-hai-chieu-inverter-ftxv35qvmv
8f509711-8eba-4c52-9365-8ee04107a24b,Máy lạnh treo tường Daikin 1.5HP - một chiều Inverter,FTKY35ZVMV,15hp-ftky35zvmv,may-lanh-treo-tuong-daikin-15hp---mot-chieu-inverter,ftky35zvmv,may-lanh-treo-tuong-daikin-15hp-mot-chieu-inverter-ftky35zvmv
3aad3234-688e-4693-b8e8-83b45cd21e32,Máy lạnh treo tường Daikin 1.5HP - một chiều Inverter,FTKF35ZVMV,15hp-ftkf35zvmv,may-lanh-treo-tuong-daikin-15hp---mot-chieu-inverter,ftkf35zvmv,may-lanh-treo-tuong-daikin-15hp-mot-chieu-inverter-ftkf35zvmv
4f339755-5728-4558-8170-c06dd6d5d0cd,Máy lạnh treo tường Daikin 1.5HP - một chiều Inverter,FTKB35ZVMV,15hp-ftkb35zvmv,may-lanh-treo-tuong-daikin-15hp---mot-chieu-inverter,ftkb35zvmv,may-lanh-treo-tuong-daikin-15hp-mot-chieu-inverter-ftkb35zvmv
103679fe-7efc-4dad-a077-3be001ddbee6,Máy lạnh treo tường Daikin 1.5HP - một chiều Inverter,FTF35XAV1V,15hp-ftf35xav1v,may-lanh-treo-tuong-daikin-15hp---mot-chieu-inverter,ftf35xav1v,may-lanh-treo-tuong-daikin-15hp-mot-chieu-inverter-ftf35xav1v
ec6933c6-2b25-4696-8e39-eb5eb1315e85,Máy lạnh treo tường Daikin 1.5HP - một chiều Inverter,FTHB35ZVMV,15hp-fthb35zvmv,may-lanh-treo-tuong-daikin-15hp---mot-chieu-inverter,fthb35zvmv,may-lanh-treo-tuong-daikin-15hp-mot-chieu-inverter-fthb35zvmv
404cb7c7-55c6-4dbb-9802-e75e0aa0d760,Máy lạnh treo tường Daikin 1.5HP - một chiều Inverter,FTKM35AVMV,15hp-ftkm35avmv,may-lanh-treo-tuong-daikin-15hp---mot-chieu-inverter,ftkm35avmv,may-lanh-treo-tuong-daikin-15hp-mot-chieu-inverter-ftkm35avmv
142b859d-69b7-4629-b2e9-c92acba4e8fc,Máy lạnh treo tường Daikin 1.5HP - một chiều Inverter,FTKZ35VVMV,15hp-ftkz35vvmv,may-lanh-treo-tuong-daikin-15hp---mot-chieu-inverter,ftkz35vvmv,may-lanh-treo-tuong-daikin-15hp-mot-chieu-inverter-ftkz35vvmv
90d00b2e-0fb7-4be7-945c-c9e94f709133,Máy lạnh treo tường Daikin 1HP - hai chiều Inverter,FTXM25XVMV,1hp-ftxm25xvmv,may-lanh-treo-tuong-daikin-1hp---hai-chieu-inverter,ftxm25xvmv,may-lanh-treo-tuong-daikin-1hp-hai-chieu-inverter-ftxm25xvmv
d4bbd752-771c-45f5-a4ad-493f2ee33ac0,Máy lạnh treo tường Daikin 1HP - hai chiều Inverter,FTXV25QVMV,1hp-ftxv25qvmv,may-lanh-treo-tuong-daikin-1hp---hai-chieu-inverter,ftxv25qvmv,may-lanh-treo-tuong-daikin-1hp-hai-chieu-inverter-ftxv25qvmv
271c376a-3bbb-4b23-a448-3be823bff051,Máy lạnh treo tường Daikin 1HP - hai chiều Inverter,FTHF25XVMV,1hp-fthf25xvmv,may-lanh-treo-tuong-daikin-1hp---hai-chieu-inverter,fthf25xvmv,may-lanh-treo-tuong-daikin-1hp-hai-chieu-inverter-fthf25xvmv
de26d891-b953-485d-bbf4-d1c647b7d2ce,Máy lạnh treo tường Daikin 1HP - một chiều Inverter,FTHB25ZVMV,1hp-fthb25zvmv,may-lanh-treo-tuong-daikin-1hp---mot-chieu-inverter,fthb25zvmv,may-lanh-treo-tuong-daikin-1hp-mot-chieu-inverter-fthb25zvmv
fac6de55-9cc1-431f-b0fd-ff33a4d7c797,Máy lạnh treo tường Daikin 1HP - một chiều Inverter,FTKM25AVMV,1hp-ftkm25avmv,may-lanh-treo-tuong-daikin-1hp---mot-chieu-inverter,ftkm25avmv,may-lanh-treo-tuong-daikin-1hp-mot-chieu-inverter-ftkm25avmv
070759ed-8885-445e-93a6-ec09d19c7e17,Máy lạnh treo tường Daikin 1HP - một chiều Inverter,FTKY25ZVMV,1hp-ftky25zvmv,may-lanh-treo-tuong-daikin-1hp---mot-chieu-inverter,ftky25zvmv,may-lanh-treo-tuong-daikin-1hp-mot-chieu-inverter-ftky25zvmv
97d306bc-a922-41d0-bae5-2252b9caecb5,Máy lạnh treo tường Daikin 1HP - một chiều Inverter,FTKF25ZVMV,1hp-ftkf25zvmv,may-lanh-treo-tuong-daikin-1hp---mot-chieu-inverter,ftkf25zvmv,may-lanh-treo-tuong-daikin-1hp-mot-chieu-inverter-ftkf25zvmv
a529a41a-6bbb-4477-8d9a-6a0a0374f259,Máy lạnh treo tường Daikin 1HP - một chiều Inverter,FTKZ25VVMV,1hp-ftkz25vvmv,may-lanh-treo-tuong-daikin-1hp---mot-chieu-inverter,ftkz25vvmv,may-lanh-treo-tuong-daikin-1hp-mot-chieu-inverter-ftkz25vvmv
47782a9e-2c46-456c-b6f9-2a9c51f22ba1,Máy lạnh treo tường Daikin 1HP - một chiều Inverter,FTKB25ZVMV,1hp-ftkb25zvmv,may-lanh-treo-tuong-daikin-1hp---mot-chieu-inverter,ftkb25zvmv,may-lanh-treo-tuong-daikin-1hp-mot-chieu-inverter-ftkb25zvmv
dff6437e-c61e-4dc2-b23b-5a3f436a4e3a,Máy lạnh treo tường Daikin 1HP - một chiều Inverter,FTF25XAV1V,1hp-ftf25xav1v,may-lanh-treo-tuong-daikin-1hp---mot-chieu-inverter,ftf25xav1v,may-lanh-treo-tuong-daikin-1hp-mot-chieu-inverter-ftf25xav1v
4b54c65a-8caa-4629-8910-21bce7bf0683,Máy lạnh treo tường Daikin 2.5HP - hai chiều Inverter,FTXM60XVMV,25hp-ftxm60xvmv,may-lanh-treo-tuong-daikin-25hp---hai-chieu-inverter,ftxm60xvmv,may-lanh-treo-tuong-daikin-25hp-hai-chieu-inverter-ftxm60xvmv
903e1ac3-5209-4947-88a7-bb9c58cd58f6,Máy lạnh treo tường Daikin 2.5HP - hai chiều Inverter,FTHF60VAVMV,25hp-fthf60vavmv,may-lanh-treo-tuong-daikin-25hp---hai-chieu-inverter,fthf60vavmv,may-lanh-treo-tuong-daikin-25hp-hai-chieu-inverter-fthf60vavmv
